Cell line,Species,Tumor classification,(Potentially) misidentified,Original classification,Unavailable,Doubling Time (Hours),Inoculation Density,Cellosaurus identifier
786-O,Homo sapiens,Renal,,,,22.4,10000,786-O (RRID:CVCL_1051)
A498,Homo sapiens,Renal,,,,66.8,25000,A-498 (RRID:CVCL_1056)
A549,Homo sapiens,Non-Small Cell Lung,,,,22.9,7500,A-549 (RRID:CVCL_0023)
ACHN,Homo sapiens,Renal,,,,27.5,10000,ACHN (RRID:CVCL_1067)
BT-549,Homo sapiens,Breast,,,,53.9,20000,BT-549 (RRID:CVCL_1092)
CAKI-1,Homo sapiens,Renal,,,,39,10000,Caki-1 (RRID:CVCL_0234)
CCRF-CEM,Homo sapiens,Leukemia,,,,26.7,40000,CCRF-CEM (RRID:CVCL_0207)
COLO 205,Homo sapiens,Colon,,,,23.8,15000,COLO 205 (RRID:CVCL_0218)
DU-145,Homo sapiens,Prostate,,,,32.3,10000,DU145 (RRID:CVCL_0105)
EKVX,Homo sapiens,Non-Small Cell Lung,,,,43.6,20000,EKVX (RRID:CVCL_1195)
HCC-2998,Homo sapiens,Colon,,,,31.5,15000,HCC2998 (RRID:CVCL_1266)
HCT-15,Homo sapiens,Colon,,,,20.6,10000,HCT 15 (RRID:CVCL_0292)
HCT116,Homo sapiens,Colon,,,,17.4,5000,HCT 116 (RRID:CVCL_0291)
HL-60(TB),Homo sapiens,Leukemia,,,,28.6,40000,HL-60(TB) (RRID:CVCL_A794)
HOP-62,Homo sapiens,Non-Small Cell Lung,,,,39,10000,HOP-62 (RRID:CVCL_1285)
HOP-92,Homo sapiens,Non-Small Cell Lung,,,,79.5,20000,HOP-92 (RRID:CVCL_1286)
HS 578T,Homo sapiens,Breast,,,,53.8,20000,Hs 578T (RRID:CVCL_0332)
HT-29,Homo sapiens,Colon,,,,19.5,5000,HT-29 (RRID:CVCL_0320)
IGROV-1,Homo sapiens,Ovarian,,,,31,10000,IGROV-1 (RRID:CVCL_1304)
K-562,Homo sapiens,Leukemia,,,,19.6,5000,K-562 (RRID:CVCL_0004)
KM12,Homo sapiens,Colon,,,,23.7,15000,KM12 (RRID:CVCL_1331)
LOX IMVI,Homo sapiens,Melanoma,,,,20.5,7500,LOX-IMVI (RRID:CVCL_1381)
M14,Homo sapiens,Melanoma,,,,26.3,15000,M14 (RRID:CVCL_1395)
MALME-3M,Homo sapiens,Melanoma,,,,46.2,20000,Malme-3M (RRID:CVCL_1438)
MCF7,Homo sapiens,Breast,,,,25.4,10000,MCF-7 (RRID:CVCL_0031)
MDA-MB-231,Homo sapiens,Breast,,,,41.9,20000,MDA-MB-231 (RRID:CVCL_0062)
MDA-MB-435,Homo sapiens,Melanoma,yes,Breast,,25.8,15000,MDA-MB-435 (RRID:CVCL_0417)
MDA-MB-468,Homo sapiens,Breast,,,,62,2000,MDA-MB-468 (RRID:CVCL_0419)
MDA-N,Homo sapiens,Melanoma,yes,Breast,unavailable,22.5,15000,MDA-N (RRID:CVCL_1910)
MOLT-4,Homo sapiens,Leukemia,,,,27.9,30000,MOLT-4 (RRID:CVCL_0013)
